                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.2304,                 1.1236,                 1.0151,                0.53647,                0.20443,                0.21101,                0.12965,                    nan,                    nan,                    nan,             0.00012666,             0.00012666,             0.00012666
                     80,                 1.2594,                 1.1594,                   1.02,                0.53602,                0.20882,                0.21274,                0.13165,                    nan,                    nan,                    nan,             0.00012115,             0.00012115,             0.00012115
                     81,                 1.2579,                 1.1622,                 1.0104,                0.53839,                0.21243,                0.28918,                 0.1855,                    nan,                    nan,                    nan,             0.00011565,             0.00011565,             0.00011565
                     82,                 1.2078,                  1.127,                 1.0265,                0.56373,                0.19945,                 0.2893,                0.19389,                    nan,                    nan,                    nan,             0.00011014,             0.00011014,             0.00011014
                     83,                 1.2627,                 1.1485,                 1.0151,                0.57567,                0.20995,                0.29032,                0.18743,                    nan,                    nan,                    nan,             0.00010464,             0.00010464,             0.00010464
                     84,                 1.2522,                 1.1522,                   1.03,                0.53649,                0.21057,                0.28754,                0.18552,                    nan,                    nan,                    nan,             9.9135e-05,             9.9135e-05,             9.9135e-05
                     85,                 1.2654,                 1.1313,                 1.0273,                0.54822,                0.21101,                0.29013,                 0.1866,                    nan,                    nan,                    nan,              9.363e-05,              9.363e-05,              9.363e-05
                     86,                 1.2311,                 1.1153,                 1.0327,                0.58924,                0.19457,                0.25353,                0.15918,                    nan,                    nan,                    nan,             8.8126e-05,             8.8126e-05,             8.8126e-05
                     87,                 1.2276,                 1.1232,                 1.0017,                0.56957,                0.20963,                 0.2553,                0.16073,                    nan,                    nan,                    nan,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     88,                 1.2801,                 1.1674,                 1.0291,                0.56379,                0.20694,                0.25405,                0.16119,                    nan,                    nan,                    nan,             7.7117e-05,             7.7117e-05,             7.7117e-05
                     89,                 1.2193,                 1.1094,                0.99958,                0.57745,                0.20037,                0.25266,                0.16085,                    nan,                    nan,                    nan,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     90,                  1.271,                  1.139,                 1.0154,                0.54791,                0.20529,                0.25414,                0.16677,                    nan,                    nan,                    nan,             6.6108e-05,             6.6108e-05,             6.6108e-05
                     91,                 1.2662,                  1.205,                 1.0221,                0.55062,                0.19736,                0.21708,                0.13462,                    nan,                    nan,                    nan,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     92,                 1.2839,                 1.2361,                 1.0219,                0.56563,                 0.1875,                0.21601,                0.13339,                    nan,                    nan,                    nan,               5.51e-05,               5.51e-05,               5.51e-05
                     93,                 1.2848,                 1.2174,                 1.0213,                0.46243,                0.18885,                0.21634,                0.13373,                    nan,                    nan,                    nan,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     94,                 1.2534,                 1.1917,                 1.0194,                0.46732,                0.18246,                0.21357,                0.13514,                    nan,                    nan,                    nan,             4.4091e-05,             4.4091e-05,             4.4091e-05
                     95,                 1.2604,                 1.1834,                 1.0266,                0.54346,                0.16896,                0.21263,                0.13362,                    nan,                    nan,                    nan,             3.8586e-05,             3.8586e-05,             3.8586e-05
                     96,                 1.2579,                 1.1795,                  1.026,                0.55189,                0.17823,                0.21332,                0.13477,                    nan,                    nan,                    nan,             3.3082e-05,             3.3082e-05,             3.3082e-05
                     97,                 1.2112,                 1.1432,                 1.0164,                0.49766,                 0.2084,                0.21554,                0.13649,                    nan,                    nan,                    nan,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     98,                 1.2473,                 1.1717,                 1.0108,                0.50639,                0.20393,                0.21473,                0.13556,                    nan,                    nan,                    nan,             2.2073e-05,             2.2073e-05,             2.2073e-05
                     99,                 1.2598,                 1.1592,                  1.029,                 0.5043,                0.20808,                0.21596,                0.13706,                    nan,                    nan,                    nan,             1.6569e-05,             1.6569e-05,             1.6569e-05
                    100,                 1.2469,                 1.1622,                 1.0143,                 0.5216,                0.20399,                0.21759,                0.13769,                    nan,                    nan,                    nan,             1.1064e-05,             1.1064e-05,             1.1064e-05
